x,y
40.8685,86.4106
42.2674,82.815
47.5018,82.3332
51.1475,80.712
53.8244,78.6045
48.1356,83.2978
44.7047,87.9185
44.4554,87.9237
42.9922,89.7755
42.9625,89.8332
42.174,90.5433
41.9378,90.992
42.3659,87.3895
43.1217,89.5552
44.0713,87.6536
43.7299,88.6751
40.5872,85.0099
41.4006,86.3055
45.1762,90.8645
47.1666,92.871
48.1815,92.3146
49.3356,89.1008
46.6591,82.1012
46.1743,81.4173
47.8036,79.0036
45.6707,85.1916
47.5576,78.216
46.8661,79.464
51.2885,78.9876
55.2967,78.2722
46.5257,80.8527
47.8962,80.742
48.884,83.5986
58.0827,86.5328
59.1784,81.1784
60.1827,81.9686
60.4441,84.0496
56.9812,82.0139
61.2968,83.1862
62.7631,84.3949
63.5481,83.5545
64.0854,81.8895
62.0233,86.4616
61.0242,86.3188
61.0019,80.8032
63.3684,77.5738
65.114,76.2003
68.6045,75.7394
69.8243,77.5571
69.7194,77.8317
74.4886,80.7579
73.9723,79.7925
75.4634,82.6273
78.3287,80.2412
78.3797,80.317
77.5823,80.0864
77.4453,79.7087
80.3681,78.9162
79.2996,79.78
81.4266,82.2041
82.2028,81.2414
79.1808,74.716
78.6361,73.289
84.9412,74.0339
88.4654,76.9449
90.2391,77.1086
91.5547,83.8567
90.2363,86.2283
92.0314,79.0868
92.0594,80.035
91.0021,81.8486
92.1921,86.154
91.7598,85.3562
92.7775,90.0461
93.1282,84.7905
93.1005,86.1654
95.7058,85.8964
96.3648,89.2734
95.8282,90.8963
95.8202,90.7492
90.6972,93.0532
90.4465,93.5013
92.3957,101.865
90.9905,101.604
83.9216,111.55
85.9206,109.776
89.2277,104.763
88.0117,106.087
88.1237,106.15
82.0609,107.443
86.0516,106.342
93.3549,103.442
93.2574,102.944
95.8641,100.436
95.7214,99.8574
95.9517,98.8584
89.4359,95.5031
87.6586,99.1742
87.7507,99.8443
84.2229,98.875
87.2876,97.2494
86.8043,95.7486
86.9629,96.4638
88.0179,94.6074
88.1565,95.6212
86.9715,90.0284
88.6268,91.9534
88.5832,91.6386
89.7541,91.6323
89.6481,89.4367
88.7431,90.4154
88.4468,91.5446
87.9882,90.6913
87.8636,89.8817
87.7052,89.905
85.0701,85.741
82.1364,85.3142
81.2355,83.0052
78.1998,81.6384
78.3653,81.2063
75.8609,76.2954
77.2467,79.2524
74.9863,77.4077
71.2502,72.9029
69.5528,70.5939
77.4946,70.7521
80.7742,66.6268
81.041,66.6415
81.2787,66.7471
77.1359,62.0224
77.7314,60.214
84.1122,55.4938
81.578,58.4026
81.7319,58.6558
79.8136,56.6109
80.1017,52.9601
80.1509,53.1061
79.6522,51.9996
81.211,55.8258
85.5013,50.0406
84.0239,47.7921
83.1832,40.9642
82.6241,40.997
82.784,41.496
83.7762,42.908
83.0904,44.551
80.5805,42.9401
81.2187,41.9804
81.683,45.0984
79.6419,45.0999
78.4767,47.097
76.2002,48.2987
74.4226,50.8774
74.7604,51.3314
71.5699,50.7851
71.7561,51.7491
69.2861,52.2042
74.8883,56.6906
73.9972,59.3381
76.3072,64.8824
76.1584,64.4359
71.2784,65.2272
72.5339,66.3549
71.2126,66.3462
68.9556,66.6082
70.298,66.4746
65.0205,64.1421
66.8743,67.7031
67.5181,69.5873
70.3182,67.1482
66.5132,68.5948
66.1759,71.463
63.841,69.6835
59.3951,73.8203
59.4575,72.994
63.4206,70.0811
63.5928,70.236
62.3497,70.0764
61.7255,70.3421
63.47,70.6176
63.9013,68.3252
63.9785,68.3005
61.2764,65.9758
56.9519,60.7711
57.565,64.5525
53.6742,60.7537
52.3309,59.649
52.4014,59.7186
60.2913,58.9334
58.6349,64.3579
60.4409,66.6689
61.8465,68.2915
62.0126,67.0849
63.9756,73.142
64.8522,75.1532
65.907,74.4847
66.528,74.0918
73.8818,73.3554
67.3272,78.828
58.5885,75.7786
58.5944,77.2539
58.5194,76.7697
58.4744,78.5547
66.1859,76.5056
66.1654,76.5252
67.5699,75.5806
64.8233,76.2009
66.0319,74.9406
63.4334,68.4477
67.3562,62.2474
67.6153,58.9357
68.3111,61.5685
67.9758,62.2989
67.9616,64.7392
67.9832,64.7457
68.4401,65.0168
70.6798,63.6635
75.7536,70.28
70.8869,69.6688
74.0506,69.1024
74.3416,68.4031
75.9148,68.9284
72.6675,67.6248
76.4379,70.6257
72.7963,71.6193
67.2058,70.3369
65.9319,66.1402
68.3287,66.673
68.9137,65.0142
68.6959,63.359
75.0235,60.6853
74.6516,61.9146
74.8323,60.1563
74.4917,59.7854
70.5088,62.5503
70.3756,59.133
72.4326,56.4098
74.2797,49.9316
71.9275,54.1515
73.1197,51.8785
72.9151,50.8189
70.9983,54.0424
68.606,53.794
69.8687,50.0843
70.3164,49.1113
70.6115,49.6055
72.812,48.4614
75.2867,47.8052
75.3055,47.8408
75.0213,49.5345
71.8165,42.8704
76.894,41.0811
80.8404,43.3132
82.2535,43.1606
83.3147,43.4537
81.563,41.6243
75.3873,43.9904
77.6373,45.4234
78.132,46.4229
77.4127,42.9966
77.1889,43.0297
78.6461,42.8614
78.402,42.5162
76.5402,45.6185
