i,j,u,v
-2.5,-2.5,-2.17559,-2.11177
-2.5,-2.4,-2.13946,-2.07022
-2.5,-2.3,-2.10222,-2.02685
-2.5,-2.2,-2.06381,-1.98147
-2.5,-2.1,-2.02422,-1.93389
-2.5,-2,-1.9834,-1.88387
-2.5,-1.9,-1.94137,-1.83116
-2.5,-1.8,-1.89812,-1.77543
-2.5,-1.7,-1.85371,-1.71631
-2.5,-1.6,-1.80825,-1.65336
-2.5,-1.5,-1.76193,-1.58601
-2.5,-1.4,-1.71505,-1.5136
-2.5,-1.3,-1.66811,-1.43527
-2.5,-1.2,-1.62186,-1.34993
-2.5,-1.1,-1.5774,-1.25615
-2.5,-1,-1.53619,-1.15201
-2.5,-0.9,-1.49974,-1.03485
-2.5,-0.8,-1.46764,-0.900787
-2.5,-0.7,-1.42877,-0.74398
-2.5,-0.6,-1.3264,-0.554997
-2.5,-0.5,-0.961288,-0.317454
-2.5,-0.4,1.42109e-14,3.9968e-15
-2.5,-0.3,1.61927,0.465363
-2.5,-0.2,3.88156,1.25276
-2.5,0.2,3.88156,1.25276
-2.5,0.3,1.61927,0.465363
-2.5,0.4,-1.5099e-14,-4.44089e-15
-2.5,0.5,-0.961288,-0.317454
-2.5,0.6,-1.3264,-0.554997
-2.5,0.7,-1.42877,-0.74398
-2.5,0.8,-1.46764,-0.900787
-2.5,0.9,-1.49974,-1.03485
-2.5,1,-1.53619,-1.15201
-2.5,1.1,-1.5774,-1.25615
-2.5,1.2,-1.62186,-1.34993
-2.5,1.3,-1.66811,-1.43527
-2.5,1.4,-1.71505,-1.5136
-2.5,1.5,-1.76193,-1.58601
-2.5,1.6,-1.80825,-1.65336
-2.5,1.7,-1.85371,-1.71631
-2.5,1.8,-1.89812,-1.77543
-2.5,1.9,-1.94137,-1.83116
-2.5,2,-1.9834,-1.88387
-2.5,2.1,-2.02422,-1.93389
-2.5,2.2,-2.06381,-1.98147
-2.5,2.3,-2.10222,-2.02685
-2.5,2.4,-2.13946,-2.07022
-2.4,-2.5,-2.1366,-2.07022
-2.4,-2.4,-2.10061,-2.02862
-2.4,-2.3,-2.06353,-1.98518
-2.4,-2.2,-2.0253,-1.93972
-2.4,-2.1,-1.98591,-1.89205
-2.4,-2,-1.94532,-1.84193
-2.4,-1.9,-1.90354,-1.7891
-2.4,-1.8,-1.86058,-1.73323
-2.4,-1.7,-1.8165,-1.67395
-2.4,-1.6,-1.7714,-1.6108
-2.4,-1.5,-1.72548,-1.54322
-2.4,-1.4,-1.67902,-1.47052
-2.4,-1.3,-1.63251,-1.39185
-2.4,-1.2,-1.58663,-1.30607
-2.4,-1.1,-1.54231,-1.21174
-2.4,-1,-1.50067,-1.10689
-2.4,-0.9,-1.46231,-0.988782
-2.4,-0.8,-1.42454,-0.853442
-2.4,-0.7,-1.37027,-0.694843
-2.4,-0.6,-1.22946,-0.503258
-2.4,-0.5,-0.795426,-0.261786
-2.4,-0.4,0.212604,0.0618664
-2.4,-0.3,1.8232,0.537348
-2.4,-0.2,4.06371,1.34105
-2.4,0.2,4.06371,1.34105
-2.4,0.3,1.8232,0.537348
-2.4,0.4,0.212604,0.0618664
-2.4,0.5,-0.795426,-0.261786
-2.4,0.6,-1.22946,-0.503258
-2.4,0.7,-1.37027,-0.694843
-2.4,0.8,-1.42454,-0.853442
-2.4,0.9,-1.46231,-0.988782
-2.4,1,-1.50067,-1.10689
-2.4,1.1,-1.54231,-1.21174
-2.4,1.2,-1.58663,-1.30607
-2.4,1.3,-1.63251,-1.39185
-2.4,1.4,-1.67902,-1.47052
-2.4,1.5,-1.72548,-1.54322
-2.4,1.6,-1.7714,-1.6108
-2.4,1.7,-1.8165,-1.67395
-2.4,1.8,-1.86058,-1.73323
-2.4,1.9,-1.90354,-1.7891
-2.4,2,-1.94532,-1.84193
-2.4,2.1,-1.98591,-1.89205
-2.4,2.2,-2.0253,-1.93972
-2.4,2.3,-2.06353,-1.98518
-2.4,2.4,-2.10061,-2.02862
-2.3,-2.5,-2.09597,-2.02685
-2.3,-2.4,-2.06014,-1.98518
-2.3,-2.3,-2.02322,-1.94166
-2.3,-2.2,-1.98518,-1.89611
-2.3,-2.1,-1.94599,-1.84834
-2.3,-2,-1.90564,-1.79811
-2.3,-1.9,-1.86412,-1.74514
-2.3,-1.8,-1.82145,-1.68912
-2.3,-1.7,-1.77769,-1.62965
-2.3,-1.6,-1.73294,-1.56628
-2.3,-1.5,-1.6874,-1.49844
-2.3,-1.4,-1.64133,-1.42542
-2.3,-1.3,-1.59517,-1.34635
-2.3,-1.2,-1.5495,-1.26008
-2.3,-1.1,-1.50507,-1.16514
-2.3,-1,-1.46249,-1.05948
-2.3,-0.9,-1.42126,-0.940316
-2.3,-0.8,-1.37586,-0.803542
-2.3,-0.7,-1.30246,-0.642942
-2.3,-0.6,-1.11812,-0.448469
-2.3,-0.5,-0.616247,-0.202663
-2.3,-0.4,0.430668,0.127751
-2.3,-0.3,2.03158,0.614088
-2.3,-0.2,4.25177,1.43481
-2.3,0.2,4.25177,1.43481
-2.3,0.3,2.03158,0.614088
-2.3,0.4,0.430668,0.127751
-2.3,0.5,-0.616247,-0.202663
-2.3,0.6,-1.11812,-0.448469
-2.3,0.7,-1.30246,-0.642942
-2.3,0.8,-1.37586,-0.803542
-2.3,0.9,-1.42126,-0.940316
-2.3,1,-1.46249,-1.05948
-2.3,1.1,-1.50507,-1.16514
-2.3,1.2,-1.5495,-1.26008
-2.3,1.3,-1.59517,-1.34635
-2.3,1.4,-1.64133,-1.42542
-2.3,1.5,-1.6874,-1.49844
-2.3,1.6,-1.73294,-1.56628
-2.3,1.7,-1.77769,-1.62965
-2.3,1.8,-1.82145,-1.68912
-2.3,1.9,-1.86412,-1.74514
-2.3,2,-1.90564,-1.79811
-2.3,2.1,-1.94599,-1.84834
-2.3,2.2,-1.98518,-1.89611
-2.3,2.3,-2.02322,-1.94166
-2.3,2.4,-2.06014,-1.98518
-2.2,-2.5,-2.05357,-1.98147
-2.2,-2.4,-2.01788,-1.93972
-2.2,-2.3,-1.98114,-1.89611
-2.2,-2.2,-1.94329,-1.85047
-2.2,-2.1,-1.90432,-1.80258
-2.2,-2,-1.8642,-1.75222
-2.2,-1.9,-1.82294,-1.6991
-2.2,-1.8,-1.78056,-1.64289
-2.2,-1.7,-1.73711,-1.58322
-2.2,-1.6,-1.6927,-1.5196
-2.2,-1.5,-1.64749,-1.45145
-2.2,-1.4,-1.60175,-1.37808
-2.2,-1.3,-1.55582,-1.29856
-2.2,-1.2,-1.51018,-1.21174
-2.2,-1.1,-1.46528,-1.11609
-2.2,-1,-1.42111,-1.00954
-2.2,-0.9,-1.37575,-0.889176
-2.2,-0.8,-1.32034,-0.750791
-2.2,-0.7,-1.22355,-0.587952
-2.2,-0.6,-0.990989,-0.390263
-2.2,-0.5,-0.423887,-0.139668
-2.2,-0.4,0.654658,0.198134
-2.2,-0.3,2.24518,0.696113
-2.2,-0.2,4.44641,1.53458
-2.2,0.2,4.44641,1.53458
-2.2,0.3,2.24518,0.696113
-2.2,0.4,0.654658,0.198134
-2.2,0.5,-0.423887,-0.139668
-2.2,0.6,-0.990989,-0.390263
-2.2,0.7,-1.22355,-0.587952
-2.2,0.8,-1.32034,-0.750791
-2.2,0.9,-1.37575,-0.889176
-2.2,1,-1.42111,-1.00954
-2.2,1.1,-1.46528,-1.11609
-2.2,1.2,-1.51018,-1.21174
-2.2,1.3,-1.55582,-1.29856
-2.2,1.4,-1.60175,-1.37808
-2.2,1.5,-1.64749,-1.45145
-2.2,1.6,-1.6927,-1.5196
-2.2,1.7,-1.73711,-1.58322
-2.2,1.8,-1.78056,-1.64289
-2.2,1.9,-1.82294,-1.6991
-2.2,2,-1.8642,-1.75222
-2.2,2.1,-1.90432,-1.80258
-2.2,2.2,-1.94329,-1.85047
-2.2,2.3,-1.98114,-1.89611
-2.2,2.4,-2.01788,-1.93972
-2.1,-2.5,-2.0092,-1.93389
-2.1,-2.4,-1.97368,-1.89205
-2.1,-2.3,-1.93711,-1.84834
-2.1,-2.2,-1.89946,-1.80258
-2.1,-2.1,-1.8607,-1.75456
-2.1,-2,-1.82082,-1.70405
-2.1,-1.9,-1.77982,-1.65075
-2.1,-1.8,-1.73772,-1.59435
-2.1,-1.7,-1.69457,-1.53443
-2.1,-1.6,-1.65046,-1.47052
-2.1,-1.5,-1.60554,-1.40204
-2.1,-1.4,-1.56002,-1.32825
-2.1,-1.3,-1.51417,-1.24823
-2.1,-1.2,-1.46828,-1.16078
-2.1,-1.1,-1.42243,-1.06434
-2.1,-1,-1.37581,-0.956754
-2.1,-0.9,-1.32473,-0.835044
-2.1,-0.8,-1.2564,-0.694843
-2.1,-0.7,-1.13155,-0.529488
-2.1,-0.6,-0.846762,-0.328206
-2.1,-0.5,-0.218461,-0.0723072
-2.1,-0.4,0.88516,0.273573
-2.1,-0.3,2.46483,0.784033
-2.1,-0.2,4.64837,1.64095
-2.1,0.2,4.64837,1.64095
-2.1,0.3,2.46483,0.784033
-2.1,0.4,0.88516,0.273573
-2.1,0.5,-0.218461,-0.0723072
-2.1,0.6,-0.846762,-0.328206
-2.1,0.7,-1.13155,-0.529488
-2.1,0.8,-1.2564,-0.694843
-2.1,0.9,-1.32473,-0.835044
-2.1,1,-1.37581,-0.956754
-2.1,1.1,-1.42243,-1.06434
-2.1,1.2,-1.46828,-1.16078
-2.1,1.3,-1.51417,-1.24823
-2.1,1.4,-1.56002,-1.32825
-2.1,1.5,-1.60554,-1.40204
-2.1,1.6,-1.65046,-1.47052
-2.1,1.7,-1.69457,-1.53443
-2.1,1.8,-1.73772,-1.59435
-2.1,1.9,-1.77982,-1.65075
-2.1,2,-1.82082,-1.70405
-2.1,2.1,-1.8607,-1.75456
-2.1,2.2,-1.89946,-1.80258
-2.1,2.3,-1.93711,-1.84834
-2.1,2.4,-1.97368,-1.89205
-2,-2.5,-1.96269,-1.88387
-2,-2.4,-1.92733,-1.84193
-2,-2.3,-1.89094,-1.79811
-2,-2.2,-1.85349,-1.75222
-2,-2.1,-1.81494,-1.70405
-2,-2,-1.77529,-1.65336
-2,-1.9,-1.73454,-1.59986
-2,-1.8,-1.6927,-1.54322
-2,-1.7,-1.64981,-1.48303
-2,-1.6,-1.60595,-1.4188
-2,-1.5,-1.56124,-1.34993
-2,-1.4,-1.51581,-1.27566
-2,-1.3,-1.46982,-1.19506
-2,-1.2,-1.42331,-1.10689
-2,-1.1,-1.37586,-1.00954
-2,-1,-1.32567,-0.900787
-2,-0.9,-1.26686,-0.777543
-2,-0.8,-1.18213,-0.635284
-2,-0.7,-1.02422,-0.467092
-2,-0.6,-0.684313,-0.261786
-2,-0.5,1.08802e-14,3.55271e-15
-2,-0.4,1.12289,0.35472
-2,-0.3,2.69145,0.87855
-2,-0.2,4.85848,1.75462
-2,0.2,4.85848,1.75462
-2,0.3,2.69145,0.87855
-2,0.4,1.12289,0.35472
-2,0.5,-9.10383e-15,-3.10862e-15
-2,0.6,-0.684313,-0.261786
-2,0.7,-1.02422,-0.467092
-2,0.8,-1.18213,-0.635284
-2,0.9,-1.26686,-0.777543
-2,1,-1.32567,-0.900787
-2,1.1,-1.37586,-1.00954
-2,1.2,-1.42331,-1.10689
-2,1.3,-1.46982,-1.19506
-2,1.4,-1.51581,-1.27566
-2,1.5,-1.56124,-1.34993
-2,1.6,-1.60595,-1.4188
-2,1.7,-1.64981,-1.48303
-2,1.8,-1.6927,-1.54322
-2,1.9,-1.73454,-1.59986
-2,2,-1.77529,-1.65336
-2,2.1,-1.81494,-1.70405
-2,2.2,-1.85349,-1.75222
-2,2.3,-1.89094,-1.79811
-2,2.4,-1.92733,-1.84193
-1.9,-2.5,-1.91379,-1.83116
-1.9,-2.4,-1.8786,-1.7891
-1.9,-2.3,-1.84238,-1.74514
-1.9,-2.2,-1.80512,-1.6991
-1.9,-2.1,-1.76679,-1.65075
-1.9,-2,-1.72736,-1.59986
-1.9,-1.9,-1.68683,-1.54613
-1.9,-1.8,-1.64522,-1.48922
-1.9,-1.7,-1.60255,-1.42871
-1.9,-1.6,-1.55886,-1.36411
-1.9,-1.5,-1.51422,-1.29478
-1.9,-1.4,-1.4687,-1.21997
-1.9,-1.3,-1.42225,-1.1387
-1.9,-1.2,-1.37461,-1.04971
-1.9,-1.1,-1.32471,-0.951307
-1.9,-1,-1.26947,-0.841217
-1.9,-0.9,-1.20042,-0.716223
-1.9,-0.8,-1.09522,-0.571621
-1.9,-0.7,-0.899217,-0.400219
-1.9,-0.6,-0.502686,-0.190389
-1.9,-0.5,0.231602,0.0779433
-1.9,-0.4,1.36871,0.442343
-1.9,-0.3,2.92607,0.980479
-1.9,-0.2,5.0777,1.87637
-1.9,0.2,5.0777,1.87637
-1.9,0.3,2.92607,0.980479
-1.9,0.4,1.36871,0.442343
-1.9,0.5,0.231602,0.0779433
-1.9,0.6,-0.502686,-0.190389
-1.9,0.7,-0.899217,-0.400219
-1.9,0.8,-1.09522,-0.571621
-1.9,0.9,-1.20042,-0.716223
-1.9,1,-1.26947,-0.841217
-1.9,1.1,-1.32471,-0.951307
-1.9,1.2,-1.37461,-1.04971
-1.9,1.3,-1.42225,-1.1387
-1.9,1.4,-1.4687,-1.21997
-1.9,1.5,-1.51422,-1.29478
-1.9,1.6,-1.55886,-1.36411
-1.9,1.7,-1.60255,-1.42871
-1.9,1.8,-1.64522,-1.48922
-1.9,1.9,-1.68683,-1.54613
-1.9,2,-1.72736,-1.59986
-1.9,2.1,-1.76679,-1.65075
-1.9,2.2,-1.80512,-1.6991
-1.9,2.3,-1.84238,-1.74514
-1.9,2.4,-1.8786,-1.7891
-1.8,-2.5,-1.86222,-1.77543
-1.8,-2.4,-1.82719,-1.73323
-1.8,-2.3,-1.79116,-1.68912
-1.8,-2.2,-1.75408,-1.64289
-1.8,-2.1,-1.71594,-1.59435
-1.8,-2,-1.6767,-1.54322
-1.8,-1.9,-1.63637,-1.48922
-1.8,-1.8,-1.59494,-1.432
-1.8,-1.7,-1.5524,-1.37112
-1.8,-1.6,-1.50877,-1.30607
-1.8,-1.5,-1.46404,-1.23622
-1.8,-1.4,-1.41813,-1.16078
-1.8,-1.3,-1.3708,-1.07874
-1.8,-1.2,-1.32132,-0.988782
-1.8,-1.1,-1.26783,-0.889176
-1.8,-1,-1.20565,-0.777543
-1.8,-0.9,-1.12324,-0.650537
-1.8,-0.8,-0.992961,-0.503258
-1.8,-0.7,-0.754105,-0.328206
-1.8,-0.6,-0.301083,-0.113278
-1.8,-0.5,0.47664,0.162347
-1.8,-0.4,1.62366,0.537348
-1.8,-0.3,3.16987,1.09077
-1.8,-0.2,5.30714,2.0071
-1.8,0.2,5.30714,2.0071
-1.8,0.3,3.16987,1.09077
-1.8,0.4,1.62366,0.537348
-1.8,0.5,0.47664,0.162347
-1.8,0.6,-0.301083,-0.113278
-1.8,0.7,-0.754105,-0.328206
-1.8,0.8,-0.992961,-0.503258
-1.8,0.9,-1.12324,-0.650537
-1.8,1,-1.20565,-0.777543
-1.8,1.1,-1.26783,-0.889176
-1.8,1.2,-1.32132,-0.988782
-1.8,1.3,-1.3708,-1.07874
-1.8,1.4,-1.41813,-1.16078
-1.8,1.5,-1.46404,-1.23622
-1.8,1.6,-1.50877,-1.30607
-1.8,1.7,-1.5524,-1.37112
-1.8,1.8,-1.59494,-1.432
-1.8,1.9,-1.63637,-1.48922
-1.8,2,-1.6767,-1.54322
-1.8,2.1,-1.71594,-1.59435
-1.8,2.2,-1.75408,-1.64289
-1.8,2.3,-1.79116,-1.68912
-1.8,2.4,-1.82719,-1.73323
-1.7,-2.5,-1.80766,-1.71631
-1.7,-2.4,-1.77278,-1.67395
-1.7,-2.3,-1.73691,-1.62965
-1.7,-2.2,-1.7,-1.58322
-1.7,-2.1,-1.66202,-1.53443
-1.7,-2,-1.62295,-1.48303
-1.7,-1.9,-1.58276,-1.42871
-1.7,-1.8,-1.54142,-1.37112
-1.7,-1.7,-1.4989,-1.3098
-1.7,-1.6,-1.45516,-1.24424
-1.7,-1.5,-1.41007,-1.17378
-1.7,-1.4,-1.36339,-1.0976
-1.7,-1.3,-1.31457,-1.01465
-1.7,-1.2,-1.26231,-0.923581
-1.7,-1.1,-1.20371,-0.822572
-1.7,-1,-1.13214,-0.709151
-1.7,-0.9,-1.03259,-0.579823
-1.7,-0.8,-0.8722,-0.429467
-1.7,-0.7,-0.586468,-0.25025
-1.7,-0.6,-0.0788046,-0.0295579
-1.7,-0.5,0.735651,0.254205
-1.7,-0.4,1.88895,0.640814
-1.7,-0.3,3.42418,1.21052
-1.7,-0.2,5.54808,2.14787
-1.7,0.2,5.54808,2.14787
-1.7,0.3,3.42418,1.21052
-1.7,0.4,1.88895,0.640814
-1.7,0.5,0.735651,0.254205
-1.7,0.6,-0.0788046,-0.0295579
-1.7,0.7,-0.586468,-0.25025
-1.7,0.8,-0.8722,-0.429467
-1.7,0.9,-1.03259,-0.579823
-1.7,1,-1.13214,-0.709151
-1.7,1.1,-1.20371,-0.822572
-1.7,1.2,-1.26231,-0.923581
-1.7,1.3,-1.31457,-1.01465
-1.7,1.4,-1.36339,-1.0976
-1.7,1.5,-1.41007,-1.17378
-1.7,1.6,-1.45516,-1.24424
-1.7,1.7,-1.4989,-1.3098
-1.7,1.8,-1.54142,-1.37112
-1.7,1.9,-1.58276,-1.42871
-1.7,2,-1.62295,-1.48303
-1.7,2.1,-1.66202,-1.53443
-1.7,2.2,-1.7,-1.58322
-1.7,2.3,-1.73691,-1.62965
-1.7,2.4,-1.77278,-1.67395
-1.6,-2.5,-1.74969,-1.65336
-1.6,-2.4,-1.71495,-1.6108
-1.6,-2.3,-1.67922,-1.56628
-1.6,-2.2,-1.64244,-1.5196
-1.6,-2.1,-1.60459,-1.47052
-1.6,-2,-1.56561,-1.4188
-1.6,-1.9,-1.52547,-1.36411
-1.6,-1.8,-1.48411,-1.30607
-1.6,-1.7,-1.44144,-1.24424
-1.6,-1.6,-1.39732,-1.17808
-1.6,-1.5,-1.35151,-1.10689
-1.6,-1.4,-1.30351,-1.02984
-1.6,-1.3,-1.25235,-0.945828
-1.6,-1.2,-1.19602,-0.853442
-1.6,-1.1,-1.13029,-0.750791
-1.6,-1,-1.04624,-0.635284
-1.6,-0.9,-0.925112,-0.503258
-1.6,-0.8,-0.729421,-0.349349
-1.6,-0.7,-0.393985,-0.165361
-1.6,-0.6,0.164839,0.0618664
-1.6,-0.5,1.00947,0.35472
-1.6,-0.4,2.16605,0.75403
-1.6,-0.3,3.69056,1.34105
-1.6,-0.2,5.80206,2.2999
-1.6,0.2,5.80206,2.2999
-1.6,0.3,3.69056,1.34105
-1.6,0.4,2.16605,0.75403
-1.6,0.5,1.00947,0.35472
-1.6,0.6,0.164839,0.0618664
-1.6,0.7,-0.393985,-0.165361
-1.6,0.8,-0.729421,-0.349349
-1.6,0.9,-0.925112,-0.503258
-1.6,1,-1.04624,-0.635284
-1.6,1.1,-1.13029,-0.750791
-1.6,1.2,-1.19602,-0.853442
-1.6,1.3,-1.25235,-0.945828
-1.6,1.4,-1.30351,-1.02984
-1.6,1.5,-1.35151,-1.10689
-1.6,1.6,-1.39732,-1.17808
-1.6,1.7,-1.44144,-1.24424
-1.6,1.8,-1.48411,-1.30607
-1.6,1.9,-1.52547,-1.36411
-1.6,2,-1.56561,-1.4188
-1.6,2.1,-1.60459,-1.47052
-1.6,2.2,-1.64244,-1.5196
-1.6,2.3,-1.67922,-1.56628
-1.6,2.4,-1.71495,-1.6108
-1.5,-2.5,-1.68781,-1.58601
-1.5,-2.4,-1.65318,-1.54322
-1.5,-2.3,-1.61755,-1.49844
-1.5,-2.2,-1.58085,-1.45145
-1.5,-2.1,-1.54305,-1.40204
-1.5,-2,-1.50408,-1.34993
-1.5,-1.9,-1.46386,-1.29478
-1.5,-1.8,-1.42228,-1.23622
-1.5,-1.7,-1.37919,-1.17378
-1.5,-1.6,-1.33434,-1.10689
-1.5,-1.5,-1.28726,-1.03485
-1.5,-1.4,-1.23716,-0.956754
-1.5,-1.3,-1.18251,-0.871481
-1.5,-1.2,-1.12034,-0.777543
-1.5,-1.1,-1.04484,-0.672956
-1.5,-1,-0.944462,-0.554997
-1.5,-0.9,-0.796712,-0.419819
-1.5,-0.8,-0.56081,-0.261786
-1.5,-0.7,-0.174479,-0.0723072
-1.5,-0.6,0.43065,0.162347
-1.5,-0.5,1.29928,0.465363
-1.5,-0.4,2.45674,0.87855
-1.5,-0.3,3.97087,1.48391
-1.5,-0.2,6.07087,2.46464
-1.5,0.2,6.07087,2.46464
